key,raw_name,translation
aqua,aqua,
bowsette,bowsette,
illustrious,illustrious,
shego,shego,
kizuna ai,kizuna ai,
nozomi,nozomi,
2b nun,2b nun,
momo ayase,momo ayase,
monster hunter,monster hunter,
2b bunny,2b bunny,
kokomi,kokomi,
rias gremory,rias gremory,
nozomi tojo,nozomi tojo,
himeko,himeko,
mita,mita,
zero two bunny,zero two bunny,
holo,holo,
peach,peach,
azusa nakano,azusa nakano,
bride,bride,
choukai,choukai,
prinz eugen,prinz eugen,
chii,chii,
mavis dracula,mavis dracula,
hyakumantenbara salome,hyakumantenbara salome,
fantia collection,fantia collection,
sucrose,sucrose,
miyamoto musashi,miyamoto musashi,
himeno,himeno,
tamamo,tamamo,
mami tomoe,mami tomoe,
aegir,aegir,
riamu yumemi,riamu yumemi,
scathach bunny,scathach bunny,
faye valentine,faye valentine,
psylocke,psylocke,
rindou mikoto bath,rindou mikoto bath,
kanade hayami,kanade hayami,
hanako urawa,hanako urawa,
shielder maid,shielder maid,
aqua lovers,aqua lovers,
kangel,kangel,
mai,mai,
sakuya izayoi,sakuya izayoi,
nightingale,nightingale,
lumine,lumine,
atago bride,atago bride,
tae takemi,tae takemi,
uzuki revolution,uzuki revolution,
yoruichi shihoin,yoruichi shihoin,
boosette,boosette,
snow white,snow white,
noshiro,noshiro,
cammy white bikini,cammy white bikini,
kuroneko,kuroneko,
rem bunny,rem bunny,
marin kitagawa bunny,marin kitagawa bunny,
rio tsukatsuki,rio tsukatsuki,
rin tosaka,rin tosaka,
lemon yakishio jk,lemon yakishio jk,
angel,angel,
tokisaki kurumi,tokisaki kurumi,
suite fantasy,suite fantasy,
lynette,lynette,
unicorn,unicorn,
roxy migurdia,roxy migurdia,
ruan mei,ruan mei,
cynthia,cynthia,
st louis,st louis,
cirno,cirno,
evelynn,evelynn,
red riding hood,red riding hood,
menace,menace,
kinako,kinako,
ochako uraraka,ochako uraraka,
nezuko,nezuko,
aerith,aerith,
olga discordia,olga discordia,
minato aqua,minato aqua,
2b dress,2b dress,
rosaria,rosaria,
yor,yor,
yuzuriha inori,yuzuriha inori,
momiji,momiji,
poison ivy,poison ivy,
tamamo dancer,tamamo dancer,
foxgirl,foxgirl,
takarada rikka,takarada rikka,
amatsukaze,amatsukaze,
aya shameimaru,aya shameimaru,
bradamante,bradamante,
squid game,squid game,
yelan bunny,yelan bunny,
himiko toga,himiko toga,
queens blade,queens blade,
anis bikini,anis bikini,
nyotengu,nyotengu,
elegg,elegg,
samsung sam,samsung sam,
starfire,starfire,
chikuma,chikuma,
taihou bride,taihou bride,
mount lady,mount lady,
kasugano sora,kasugano sora,
mako,mako,
power nurse,power nurse,
sakamata chloe,sakamata chloe,
murasaki shikibu swimsuit,murasaki shikibu swimsuit,
marnie,marnie,
rhythm jungle,rhythm jungle,
barbara pegg,barbara pegg,
makima nurse,makima nurse,
sheer gloss,sheer gloss,
chen hai,chen hai,
senritsu no tatsumaki,senritsu no tatsumaki,
miku,miku,
murasame,murasame,
seele,seele,
ryuko matoi,ryuko matoi,
kashino,kashino,
bea,bea,
love a live,love a live,
dragon,dragon,
lenfriedom! type d,lenfriedom! type d,
yuuka hayase,yuuka hayase,
iori shiromi succubus,iori shiromi succubus,
anna august,anna august,
lux,lux,
ningguang,ningguang,
viper bunny,viper bunny,
himari,himari,
higuchi madoka,higuchi madoka,
ako amau,ako amau,
mary bunny,mary bunny,
christmas bunny,christmas bunny,
super crown bowser,super crown bowser,
lisa minci,lisa minci,
stocking anarchy,stocking anarchy,
demon,demon,
maya,maya,
2b qipao,2b qipao,
marie rose bikini,marie rose bikini,
jessie,jessie,
saber maid,saber maid,
ereshkigal,ereshkigal,
kobeni,kobeni,
mari,mari,
yennefer,yennefer,
w,w,
usada pekora,usada pekora,
emperor penguin,emperor penguin,
melina,melina,
ashe,ashe,
sakura haruno,sakura haruno,
gwen,gwen,
saint louis,saint louis,
cantarella,cantarella,
2b police,2b police,
hk416,hk416,
miku hatsune brazilian,miku hatsune brazilian,
shinano,shinano,
summer dress,summer dress,
hot babe,hot babe,
police,police,
cowgirl,cowgirl,
dva casual,dva casual,
atago rq,atago rq,
kitagawa marin,kitagawa marin,
anubis,anubis,
kongou,kongou,
shizuku,shizuku,
nero bikini,nero bikini,
guitar meimei,guitar meimei,
ooyodo bunny,ooyodo bunny,
seiko,seiko,
seiko ayase,seiko ayase,
tingyun,tingyun,
kirara,kirara,
sora kasugano,sora kasugano,
danua,danua,
love fleet collection,love fleet collection,
narumea,narumea,
kujou sara,kujou sara,
dehya,dehya,
nobara,nobara,
apron,apron,
narmaya,narmaya,
